"","TruePositiveCount","FalsePositiveCount","TrueNegativeCount","FalseNegativeCount","TruePositiveRate","Specificity","FalsePositiveRate","SignalToNoise","SignalToNoiseRate","PositivePredictiveValue","Accuracy"
"crops to water",1,1529,9509,3,0.25,0.861478528718971,0.135321709885831,0.00065402223675605,1.84744931327665,0.00065359477124183,0.841369547907635
"water to not_sure",0,1529,9509,4,0,0.861478528718971,0.135321709885831,0,0,0,0.841281075820579
"urban_built_up to grassland",1,1529,9509,2,0.333333333333333,0.861478528718971,0.135321709885831,0.00065402223675605,2.46326575103553,0.00065359477124183,0.841443992213767
"wetland_herbaceous to tree",1,1529,9509,2,0.333333333333333,0.861478528718971,0.135321709885831,0.00065402223675605,2.46326575103553,0.00065359477124183,0.841443992213767
"bare to wetland_herbaceous",0,1529,9509,2,0,0.861478528718971,0.135321709885831,0,0,0,0.84142996195027
"crops to shrub",0,1529,9509,2,0,0.861478528718971,0.135321709885831,0,0,0,0.84142996195027
"crops to tree",1,1529,9509,1,0.5,0.861478528718971,0.135321709885831,0.00065402223675605,3.6948986265533,0.00065359477124183,0.841518449694717
"grassland to wetland_herbaceous",1,1529,9509,1,0.5,0.861478528718971,0.135321709885831,0.00065402223675605,3.6948986265533,0.00065359477124183,0.841518449694717
"shrub to wetland_herbaceous",2,1529,9509,0,1,0.861478528718971,0.135321709885831,0.0013080444735121,7.3897972531066,0.00130633572828217,0.841606937439165
"water to urban_built_up",0,1529,9509,2,0,0.861478528718971,0.135321709885831,0,0,0,0.84142996195027
"wetland_herbaceous to bare",0,1529,9509,2,0,0.861478528718971,0.135321709885831,0,0,0,0.84142996195027
"wetland_herbaceous to wetland_herbaceous",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.84142996195027
"bare to shrub",1,1529,9509,0,1,0.861478528718971,0.135321709885831,0.00065402223675605,7.3897972531066,0.00065359477124183,0.841592920353982
"burnt to water",1,1529,9509,0,1,0.861478528718971,0.135321709885831,0.00065402223675605,7.3897972531066,0.00065359477124183,0.841592920353982
"crops to bare",1,1529,9509,0,1,0.861478528718971,0.135321709885831,0.00065402223675605,7.3897972531066,0.00065359477124183,0.841592920353982
"crops to crops",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"lichen_and_moss to grassland",1,1529,9509,0,1,0.861478528718971,0.135321709885831,0.00065402223675605,7.3897972531066,0.00065359477124183,0.841592920353982
"not_sure to crops",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"not_sure to tree",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"not_sure to wetland_herbaceous",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"shrub to not_sure",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"snow_and_ice to water",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"urban_built_up to crops",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
"urban_built_up to water",0,1529,9509,1,0,0.861478528718971,0.135321709885831,0,0,0,0.841504424778761
