"","TruePositiveCount","FalsePositiveCount","TrueNegativeCount","FalseNegativeCount","TruePositiveRate","Specificity","FalsePositiveRate","SignalToNoise","SignalToNoiseRate","PositivePredictiveValue","Accuracy"
"shrub to wetland_herbaceous",2,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00162337662337662,13.5876623376623,0.00162074554294976,0.918229602198065
"tree to bare",1,1232,15371,1,0.5,0.925796542793471,0.0735961768219833,0.000811688311688312,6.79383116883117,0.0008110300081103,0.918169872177757
"tree to water",0,1232,15371,2,0,0.925796542793471,0.0735961768219833,0,0,0,0.918110142157448
"wetland_herbaceous to bare",1,1232,15371,1,0.5,0.925796542793471,0.0735961768219833,0.000811688311688312,6.79383116883117,0.0008110300081103,0.918169872177757
"wetland_herbaceous to shrub",2,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00162337662337662,13.5876623376623,0.00162074554294976,0.918229602198065
"bare to crops",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"burnt to crops",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"crops to wetland_herbaceous",1,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.000811688311688312,13.5876623376623,0.0008110300081103,0.918224717758796
"grassland to burnt",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"grassland to fallow_shifting_cultivation",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"not_sure to bare",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"not_sure to crops",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"not_sure to fallow_shifting_cultivation",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"shrub to bare",1,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.000811688311688312,13.5876623376623,0.0008110300081103,0.918224717758796
"shrub to fallow_shifting_cultivation",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"shrub to tree",1,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.000811688311688312,13.5876623376623,0.0008110300081103,0.918224717758796
"tree to fallow_shifting_cultivation",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"tree to not_sure",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
"water to wetland_hebaceous",1,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.000811688311688312,13.5876623376623,0.0008110300081103,0.918224717758796
"wetland_herbaceous to crops",0,1232,15371,1,0,0.925796542793471,0.0735961768219833,0,0,0,0.918164984170599
